phi,h2_fraction,initial_temperature_k,pressure_atm,adiabatic_flame_temperature_k,x_no,x_co,x_co2,x_h2o
0.6,0.0,900.0,10.0,2134.184695039233,0.006309338126088564,0.00025615414876221666,0.0589908645212427,0.11749165674786201
0.8,0.0,900.0,10.0,2421.3710534026495,0.007842065092926204,0.002995413929066655,0.0742401858128511,0.15087978094924687
1.0,0.0,900.0,10.0,2595.740719139614,0.0048166176311080335,0.016905841509135332,0.0768149265184117,0.1777766682835868
1.2,0.0,900.0,10.0,2563.477424985236,0.0009944399141659226,0.04921090146060686,0.058358351991775,0.18802348556835868
1.4,0.0,900.0,10.0,2427.9036187794454,0.00016272550844217406,0.07850255591131669,0.040806741295338636,0.17974390025373013
0.6,0.1,900.0,10.0,2139.4035693329174,0.006376338815605201,0.0002587462286868269,0.057293443975828515,0.12045879988499866
0.8,0.1,900.0,10.0,2426.597152060792,0.007896328584667444,0.0029967582299084894,0.07198835200154793,0.154578394263677
1.0,0.1,900.0,10.0,2600.793111721178,0.00485034757024849,0.016737776257486597,0.07420364571499882,0.1819353401415147
1.2,0.1,900.0,10.0,2570.671014180566,0.0010243620837883786,0.04817290472616217,0.05617054350137458,0.19216268690046734
1.4,0.1,900.0,10.0,2438.137335360444,0.00017338525990013133,0.07641960490178902,0.03928220477980171,0.18367920324308487
0.6,0.2,900.0,10.0,2145.5088397420545,0.006455027430016962,0.0002614407462448251,0.05530383248008414,0.12393595388911124
0.8,0.2,900.0,10.0,2432.7067082625263,0.007959542004222626,0.0029941871438419654,0.06935572173787019,0.15890480608346721
1.0,0.2,900.0,10.0,2606.713997127294,0.004889119041942992,0.01652318806784325,0.07116762435855763,0.1867845228881634
1.2,0.2,900.0,10.0,2579.031263942993,0.0010595367565757214,0.046931489511592095,0.0536415268280479,0.19696716796648414
1.4,0.2,900.0,10.0,2450.015135823889,0.00018645567455904223,0.07396321168874327,0.037524280988652646,0.18824716595171767
0.6,0.3,900.0,10.0,2152.7472064063945,0.006548739435682865,0.0002641148829453545,0.05293952903776083,0.12806692681461196
0.8,0.3,900.0,10.0,2439.9451978982015,0.008034099468697346,0.0029850090842854227,0.0662371289784787,0.16403349094185768
1.0,0.3,900.0,10.0,2613.7490955474605,0.004934084429998721,0.016242685540931626,0.0675952848203682,0.19251085072115773
1.2,0.3,900.0,10.0,2588.867191638901,0.0011014328677019097,0.04542051325706077,0.05068686450355313,0.20260948827474382
1.4,0.3,900.0,10.0,2463.9640800428174,0.00020280323107173953,0.07102331406358035,0.03547592159843443,0.19361263394172284
0.6,0.4,900.0,10.0,2161.46625824106,0.006662205510257827,0.00026649790029465884,0.050083776070456894,0.1330551746217514
0.8,0.4,900.0,10.0,2448.6587684411625,0.008123321832908705,0.0029645160574196363,0.06248495307435496,0.17021006989175852
1.0,0.4,900.0,10.0,2622.2467882471005,0.004986732610966021,0.015865488819342088,0.06333294940129523,0.19937432692687612
1.2,0.4,900.0,10.0,2600.6075443034715,0.001152104592153551,0.04354193664909996,0.04719290215425809,0.20932659928684563
1.4,0.4,900.0,10.0,2480.571268808448,0.00022373994957679437,0.0674421259326474,0.03306028185945928,0.20000272445501152
