reactor_model,phi,h2_fraction,initial_temperature_k,pressure_atm,ignition_delay_ms,ignition_delay_oh_ms,criterion_difference_percent,maximum_temperature_k,temperature_rise_k,maximum_temperature_rate_k_per_s,maximum_oh_mass_fraction,final_pressure_atm,final_volume_m3,recorded_points,status,error_message
constant_pressure,0.6,0.0,1000.0,10.0,71.7552330330838,71.76102324558305,0.008069394042076109,2230.1096436458097,1230.1096436458097,71870078.32575226,0.003824513548787734,9.999999999999998,2.2165928254248435,3305,ignited,
constant_pressure,0.7,0.0,1000.0,10.0,74.10485982897312,74.10900154648817,0.005588995815676456,2378.407863302537,1378.407863302537,117787468.69831848,0.005452370358934071,9.999999999999998,2.3674719875533548,3407,ignited,
constant_pressure,0.8,0.0,1000.0,10.0,76.62337438104441,76.62657691484715,0.004179578136051834,2503.4583863293924,1503.4583863293924,164524331.32948303,0.006943973068901354,10.0,2.5004808645414216,3678,ignited,
constant_pressure,0.9,0.0,1000.0,10.0,79.26300659530455,79.26554600569135,0.0032037775197803556,2600.0662387158395,1600.0662387158395,204745713.2301941,0.00806099479665264,9.999999999999998,2.6110187120550856,3633,ignited,
constant_pressure,1.0,0.0,1000.0,10.0,81.99412584560625,81.99613358554062,0.002448638745354855,2660.711727303837,1660.711727303837,232048511.8690796,0.008630985357865786,9.999999999999998,2.6921954041905103,3789,ignited,
constant_pressure,1.1,0.0,1000.0,10.0,84.79725912571033,84.79877668642673,0.001789634160413639,2673.5901874321207,1673.5901874321207,241219180.79803467,0.008574118609156996,9.999999999999998,2.7354099192667323,3771,ignited,
constant_pressure,1.2,0.0,1000.0,10.0,87.6590683521683,87.66035747497288,0.0014706097484401756,2637.6447051401447,1637.6447051401447,228790569.72103882,0.007836913045406686,9.999999999999998,2.7405926088363164,3830,ignited,
constant_pressure,1.3,0.0,1000.0,10.0,90.5700947292689,90.5715256770057,0.0015799340180337224,2576.137975639449,1576.137975639449,194446715.24295044,0.00624445592059661,10.0,2.722512964831661,3859,ignited,
constant_pressure,1.4,0.0,1000.0,10.0,93.52342645393757,93.5255106316395,0.0022285087073428303,2507.3349080622993,1507.3349080622993,145042844.11206055,0.0037118209094079194,9.999999999999998,2.6943420124954636,3742,ignited,
constant_pressure,0.6,0.2,1000.0,10.0,18.40895777511479,18.413973904580555,0.027248307737151593,2241.4141356556975,1241.4141356556975,87825770.24633789,0.00402835699811945,9.999999999999998,2.2124488094880244,3379,ignited,
constant_pressure,0.7,0.2,1000.0,10.0,17.03230967702391,17.03590286005854,0.02109627585902196,2389.741942489574,1389.7419424895738,139924535.27183533,0.005740798040033814,9.999999999999998,2.360045385315402,3450,ignited,
constant_pressure,0.8,0.2,1000.0,10.0,15.947340969479892,15.95014644382603,0.017592113641434034,2514.5204240650487,1514.5204240650487,191059835.06472778,0.007307783200016913,9.999999999999998,2.489426836492048,3560,ignited,
constant_pressure,0.9,0.2,1000.0,10.0,15.068306510417134,15.070556670470056,0.014933065314051813,2610.856377455089,1610.856377455089,233550520.65286255,0.008478991491345057,10.000000000000004,2.5963249250256037,3665,ignited,
constant_pressure,1.0,0.2,1000.0,10.0,14.34111820030897,14.342878762160213,0.012276322017942827,2671.59284978071,1671.59284978071,261059343.06585693,0.009076622854080287,9.999999999999998,2.6743212441764834,3669,ignited,
constant_pressure,1.1,0.2,1000.0,10.0,13.729752068524078,13.731105205108992,0.009855506335151488,2685.6604111774327,1685.6604111774327,268696872.1333313,0.009020986603077891,9.999999999999998,2.715611743764847,3782,ignited,
constant_pressure,1.2,0.2,1000.0,10.0,13.209142268802363,13.210336306241713,0.009039477469853733,2652.556132566834,1652.556132566834,253533722.2702942,0.008239661100031638,10.000000000000005,2.7206663201244305,3728,ignited,
constant_pressure,1.3,0.2,1000.0,10.0,12.761236283259185,12.762581655121615,0.010542645183949536,2594.4224441364036,1594.4224441364036,216035330.96661377,0.006566062103284871,9.999999999999998,2.703463739620617,3690,ignited,
constant_pressure,1.4,0.2,1000.0,10.0,12.37260707583979,12.37454119111205,0.015632237089597704,2528.810119553204,1528.810119553204,163809715.52531433,0.0039755959002123675,9.999999999999998,2.676429853601887,3761,ignited,
constant_pressure,0.6,0.4,1000.0,10.0,16.362257383663525,16.36592712487638,0.022428086337996356,2257.3327396660366,1257.3327396660366,117866937.81163025,0.004357764662379164,9.999999999999998,2.2066006260340485,3317,ignited,
constant_pressure,0.7,0.4,1000.0,10.0,15.114676212837436,15.117426735756393,0.018197696597831946,2405.680710980705,1405.680710980705,179977190.81918335,0.006200912937093486,9.999999999999998,2.349668626274547,3446,ignited,
constant_pressure,0.8,0.4,1000.0,10.0,14.123514908576446,14.125738117870714,0.015741189843032403,2530.0982594811035,1530.0982594811035,237920175.20361328,0.007877856088522301,10.0,2.474113940167067,3729,ignited,
constant_pressure,0.9,0.4,1000.0,10.0,13.31351135484029,13.31532885243061,0.013651526947917034,2626.1029468710353,1626.1029468710353,283756449.22302246,0.009125593501343971,10.0,2.5761203476939483,3708,ignited,
constant_pressure,1.0,0.4,1000.0,10.0,12.6371697039574,12.638591879587157,0.011253909404352608,2686.9876426700644,1686.9876426700644,311433131.3352051,0.0097629833494247,9.999999999999998,2.6498643364333034,3699,ignited,
constant_pressure,1.1,0.4,1000.0,10.0,12.062805356100858,12.063937948016127,0.00938912534716574,2702.6003195301937,1702.6003195301937,316673864.12561035,0.009705545894770377,9.999999999999998,2.688532887595087,3625,ignited,
constant_pressure,1.2,0.4,1000.0,10.0,11.568357115269745,11.569431264279885,0.009285233844678038,2673.2277493539364,1673.2277493539364,297380738.9221802,0.008855712170434453,9.999999999999998,2.6933078287745684,3673,ignited,
constant_pressure,1.3,0.4,1000.0,10.0,11.137922252630402,11.139158162672413,0.011096414699061818,2619.6541659798836,1619.6541659798836,255125858.6588745,0.007083948827766083,9.999999999999996,2.6772177622681004,3749,ignited,
constant_pressure,1.4,0.4,1000.0,10.0,10.759667220632549,10.761391595219827,0.016026281779154758,2558.4225987681702,1558.4225987681702,198340023.37374878,0.004439370144513729,9.999999999999998,2.6516989146038115,3647,ignited,
