phi,h2_fraction,unburned_temperature_k,pressure_atm,laminar_flame_speed_cm_s,laminar_flame_speed_m_s,burned_gas_temperature_k,grid_points,transport_model,soret_enabled,status,error_message
0.6,0.0,300.0,1.0,11.537731057185322,0.11537731057185323,1664.4808736259174,189,multicomponent,True,converged,
0.8,0.0,300.0,1.0,27.148212674408594,0.27148212674408595,1998.1983980907232,173,multicomponent,True,converged,
1.0,0.0,300.0,1.0,37.680729328877696,0.37680729328877693,2229.4067048503,197,multicomponent,True,converged,
1.2,0.0,300.0,1.0,33.798719777744765,0.3379871977774476,2135.634133863001,195,multicomponent,True,converged,
1.4,0.0,300.0,1.0,14.37756619486246,0.1437756619486246,1982.521482563294,180,multicomponent,True,converged,
0.6,0.2,300.0,1.0,13.440628810831706,0.13440628810831706,1672.3185511981687,187,multicomponent,True,converged,
0.8,0.2,300.0,1.0,30.864502027673378,0.3086450202767338,2005.3886750602903,175,multicomponent,True,converged,
1.0,0.2,300.0,1.0,43.218995254986275,0.43218995254986275,2238.2376951294664,201,multicomponent,True,converged,
1.2,0.2,300.0,1.0,40.28188896929502,0.4028188896929502,2151.4762731684245,199,multicomponent,True,converged,
1.4,0.2,300.0,1.0,18.73291911602677,0.1873291911602677,2004.2096647369794,180,multicomponent,True,converged,
0.6,0.4,300.0,1.0,16.529254999171624,0.16529254999171622,1685.0764908062492,184,multicomponent,True,converged,
0.8,0.4,300.0,1.0,36.97073112867943,0.36970731128679435,2017.8871512688434,171,multicomponent,True,converged,
1.0,0.4,300.0,1.0,52.163515677316894,0.521635156773169,2249.6921294433346,202,multicomponent,True,converged,
1.2,0.4,300.0,1.0,51.22962494576385,0.5122962494576385,2173.881990963978,194,multicomponent,True,converged,
1.4,0.4,300.0,1.0,26.68928530754912,0.2668928530754912,2030.120892049874,211,multicomponent,True,converged,
